did,description,record_text
did:plc:pbr252h7qh57j6kbj63kja2b,"I write slashy sci-fi and fantasy. I like animals, flowery plants, and the environment.

Stuff: https://harperkingsley.net/blog. || https://kimichee.com. || https://ko-fi.com/harperwck. || https://amzn.to/3IdScGG. || https://patreon.com/harperkingsley.",And for all the talk of this being a Trump op... dockworkers are once again publicly crediting the Biden Administration for having their backs
did:plc:ep5l4ixikvwk6mqacxohricu,Medical & science writer. Contributor @Fortune @TIME @SciAm 25-yr Emergency Medicine physician. Book: Runaway Medicine. Pls send tips! https://www.carolynbarbermd.com/,"Authors of a recent Senate report accused insurers of â€œusing prior authorization to protect billions in profits while forcing vulnerable patients into impossible choices.â€

Good piece by: @erikafry @FortuneMagazine ğŸ‘‡
fortune.com/2024/12/14/u...
#MedSky  #BlueSky #medtwitter #EMSky #nursesky #fmsky"
did:plc:aor3an6b7u5enebzz7rshhss,"
â€œI will not give into the lies. I will not give into the fearâ€ - Jim Acosta
Retired Educator, Activist, Childless Dog Lady. MI, CO, now NC

THE HUMANITY OF ALL AMERICANS IS DIMINISHED WHEN ANY GROUP IS DENIED RIGHTS GRANTED TO OTHERS"" Julian Bond""","When we all realize billionaires are the problem we might actually fix some issues.

'Ridiculous': Doctor charges for surgery after pulling splinter from toddler's hand

www.rawstory.com/ridiculous-d..."
did:plc:yc7svzsjqbpedrznhujq66xd,"I make ceramic containers because I hate clutter and love making things. 

Born Stateless, US citizen on paper.  Love the people, worried about them  &  government. 

Cutting wood, carrying water.",I just can't with this. He's lucky he's rich because no one would ever hire him....oh wait.
did:plc:wuamgt4m743fl3atrs4agwsq,Historian of science and religion in a previous life. Author @Palgrave (2020). Views mine. He/Him. Orange belt in Karate (2002). I'm big in Japan.,The US Embassy in Stockholm has removed the â€We Stand with Ukraineâ€ banner that has hung on its walls for 3 years. Shame.
did:plc:f3qc7bdaq26c5kteltunruhu,"My main interests are history, science-fiction, comics, photography, technology, sciences and movies. Host of @lafayettepodcast.com

Photography on @pixmanuphoto.bsky.social

Francophone en AmÃ©rique du Nord. 

ğŸ™ğŸ’™ğŸ“šğŸš€ ğŸ¥ ğŸ“·ğŸ‡¨ğŸ‡¦ğŸ‡«ğŸ‡·

https://linktr.ee/manuphoto","Fuji's lens selection is fantastic, definitely a plus for this camera. Also, Fuji now allows third party lenses, expanding the system even more. Great! Be aware that its RAW files can be a bit weird"""
did:plc:coltvz6nhkdege75lixzbklf,"Irish scientist working in public health. ECDC EUPHEM alum. Interests: Neisseria, enterics, AMR, SARS-CoV-2, mol/genomic epi, NGS, R. Views my own. ğŸ‡®ğŸ‡ªğŸ§¬ğŸ¦ ğŸ¥¼","We've put together an #Epidemiology / #EpiSky starter pack with some of our members & friends! Please share!

TESTIMONIALS
'The original data scientists' - @miguelhernan.bsky.social
'The new rock stars' - @nytimes.com
'A science of high importance' - @natureportfolio.bsky.social

go.bsky.app/K6DXCGi"
did:plc:yc7svzsjqbpedrznhujq66xd,"I make ceramic containers because I hate clutter and love making things. 

Born Stateless, US citizen on paper.  Love the people, worried about them  &  government. 

Cutting wood, carrying water.","I do in fact think the midterms will be relevant, because, as other people are pointing out, there is no majority constituency for what is currently being done even on the right wing of the far-right."
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava UkraineğŸ‡ºğŸ‡¦",Its something a lot of UK ppl would actively avoid.
did:plc:i7r5rvq2r57yl55vhasyj6ey,"AuDHD nonbinary PNW hermit, alleged Storyteller, Columbo Aficionado, Enterprise Blueprinter","Which is fine for a lot of games Iâ€™ll hunker down with for an hour+, but half my time when I want a 30 second level fix."
did:plc:aor3an6b7u5enebzz7rshhss,"
â€œI will not give into the lies. I will not give into the fearâ€ - Jim Acosta
Retired Educator, Activist, Childless Dog Lady. MI, CO, now NC

THE HUMANITY OF ALL AMERICANS IS DIMINISHED WHEN ANY GROUP IS DENIED RIGHTS GRANTED TO OTHERS"" Julian Bond""","The corporate takeover of American politics was rapid and ruthless.

In the 1970s, I watched as thousands of corporate lobbyists descended on Washington. Fast forward to today, and lobbying has become a $3.7 billion dollar industry.

It all began with the Powell Memo."
did:plc:xogsg2vbt2zmnkzzmzhkrahb,Australian. Sick of the two party duopoly. Rusties and shills turn back now. Public health. Housing for all. A green future. Tax the billionaires. Peace.,"No matter what happens at the next election, the Miles govt can be very proud of this:

www.theguardian.com/australia-ne..."
did:plc:ztxesphxbajj6xfxugfsxofm,"18+ Themagicman1 on FA, always watching, I like star wars, vore, Ben 10, avatar and LOK, dragon ball, pokemon, gaming and much more.",Gonna tuck them into one of if not the comfiest tum they have ever been in.
did:plc:jcoy7v3a2t4rcfdh6i4kza25,"Astronomy postdoc @mpi-astro.bsky.social in ğŸ‡©ğŸ‡ª. 
Works with machine learning & star clusters. 
Maintains the Astronomy feeds (@astronomy.blue).

ğŸ³ï¸â€ğŸŒˆ ğŸ³ï¸â€âš§ï¸ (she/her), â“‹
Website: https://emily.space
GitHub: https://github.com/emilyhunt","There are two Astrophotography feeds on Bluesky too, which can be posted to with #astrophotography. This one is ran by me, and only includes posts from people signed up to the Astronomy feed network:"
did:plc:fnqhfefhrn2kq2v4hmamkbij,"Prof @ Northwestern law, political theorist, cat parent. Black lives matter. 

Profile, pubs, etc: https://gowder.io 

All my books (rule of law, racial justice, platform governance) are downloadable in free open access pdf @ https://books.gowder.io","Ok Elon, will these power-grab reversals apply to the department of justice? to the administrative empire of immigration law? how about to homeland security? Will CBP obey the 4th Amendment? 

www.wsj.com/opinion/musk..."
did:plc:tdhfbju5nml6p7goaye5iiqj,"European Space Agency Astronomer at the Space Telescope Science Institute in Baltimore, MD. Team Lead for the MIRI instrument on JWST. Runner, dog mum, cyclist. ğŸ‡¬ğŸ‡§ğŸ‡§ğŸ‡ª Opinions my own. ",I also made the mistake of assuming most federal workers are in DC - this map shows how thatâ€™s very much NOT the case!
did:plc:f3qc7bdaq26c5kteltunruhu,"My main interests are history, science-fiction, comics, photography, technology, sciences and movies. Host of @lafayettepodcast.com

Photography on @pixmanuphoto.bsky.social

Francophone en AmÃ©rique du Nord. 

ğŸ™ğŸ’™ğŸ“šğŸš€ ğŸ¥ ğŸ“·ğŸ‡¨ğŸ‡¦ğŸ‡«ğŸ‡·

https://linktr.ee/manuphoto","New Take Me To Your Reader episode! Stalker, based on Roadside Picnic, by the Strugatsky Brothers, with guest Ben DeBono from the Sci-Fi Christian
pavementpodcast.com/podcast/stal..."
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava UkraineğŸ‡ºğŸ‡¦","Houchen and his cohorts should be up in trial, Teesside has been long forgotten by several governments but this is utterly criminal!

northeastbylines.co.uk/news/environ..."
did:plc:y6so7hxyeb4dfvdx6wkmmkoc,"Mum and Nana to Doodles F&A I love my grandchildren so much â™¥ï¸â™¥ï¸â™¥ï¸ ğŸŒ±â˜€ï¸ğŸ¦‹
Love Gardening/Antiques/Painting/Drawing/Photography x
Love Gardening the mostğŸ‘©â€ğŸŒ¾ xâ™¥ï¸â™¥ï¸â˜•ï¸
#MentalHealthMatters #BeKind #WarningSweary 
ğŸš¨NO DM - INSTANT BLOCK","Unbelievable. Donald Trump has been invited to a state visit to the UK. We should not be rolling out the red carpet to celebrate this man. Agree? Add your name to the petition today: you.38degrees.org.uk/petitions/no...

SIGN AND SHARE THIS !!!"
did:plc:7edcfjn4kyywj3cqvdzym7os,"Passionate debater. Generous with compliments. Dedicated to helping others. Consultant. Communication. Rhetoric. Politics. Media. 
https://buymeacoffee.com/terjehelland
https://www.paypal.com/paypalme/TerjeHelland
ENcouncil.org","The abolition of the Civil Service Bureau is another step in consolidating control.
This bureau helped ensure a professional, independent public service. Now, its responsibilities are being transferred to the Anti-Corruption Bureauâ€”an agency fully controlled by GD."
did:plc:c6kv4xyvyjylc3l55kk2uvkv,"People who know me will say I blab about comics, mobile tech, video games, and why intersectional feminism is what we need more of.",Cold weather means it's going to be PC gaming season. Nvidia cards pump out enough heat to warm any room.
did:plc:slsudzd2ktkajexx4mtojwxx,"Star Wars,  Marvel, Doctor Who  Not buying your art so don't ask! Seeking help to avoid eviction,  help please.    https://gofund.me/ec92ae53",NEW: The CDC is currently removing all the influenza resources from their website during the worst flu season in decades.
did:plc:aor3an6b7u5enebzz7rshhss,"
â€œI will not give into the lies. I will not give into the fearâ€ - Jim Acosta
Retired Educator, Activist, Childless Dog Lady. MI, CO, now NC

THE HUMANITY OF ALL AMERICANS IS DIMINISHED WHEN ANY GROUP IS DENIED RIGHTS GRANTED TO OTHERS"" Julian Bond""","This new iteration of Nazis want to become a â€œMaster Raceâ€ with ELON fucking MUSK as their poster boy? ğŸ¤£ 

On what planet is Elon Musk the master prototype for anything? 

This is a man who spends considerable time trolling his trans daughter while high on ketamine."
did:plc:f7ui6lggjwy3czztiaama4qo,"Williamsville New York; sponsor of the #22 Dirt 358 Modified, retired from Disaster Management, Proud Grandpa of two crazy grandkids!","While working disasters, I'd try and attend local races. In TX waiting track prep to finish, I called home to check on the family. They picked my number and won a shirt. I quickly hung up to get the shirt. Got the cold shoulder when I called later. I still have the shirt and the family  ğŸ˜ƒ"
did:plc:shftaxirw5op7yp5ka3pdxet,"Motorbikes, Espresso, Real estate strategery, Slow Mornings,...","Trump starts pointless trade war. 

Canada threatens to retaliate by withholding electricity from the US. 

Trumpâ€™s press sec says this is fine because Jesus didnâ€™t have electricity. 

Literally the dumbest possible timeline."
did:plc:xogsg2vbt2zmnkzzmzhkrahb,Australian. Sick of the two party duopoly. Rusties and shills turn back now. Public health. Housing for all. A green future. Tax the billionaires. Peace.,"NZ Government Getting A Reminder Of Why They Had To Sign The Treaty Of Waitangi In The First Place""  "
did:plc:nznz3ahiqaizgj6e7dvtot3i,"Father, Husband, Nature Lover, Wildlife Photographer, Bird Enthusiast, Advocate, Explorer, Manager of Projects 

ğŸ“New England","Donald Trump rolled back the 1965 Equal Opportunity Executive Order.

He pardoned 1,500 insurrectionists.

He tried to remove birthright citizenship.

Meanwhile, the cost of eggs just went up again. He wants to distract you. Donâ€™t let him."
did:plc:62jnlcsohnkrvhybxe53gfux,"Husband, Father, Educator, Alpha. If the food is good thatâ€™s where youâ€™ll find me!","The greatest lie the devil ever told is that norms are the same thing as morals. Norms are contracts, and contracts can be broken by either party. If one party breaks a norm and the other still keeps it, all they are doing is abetting their own abuse under the auspices of certitude."
did:plc:sptkal5ejb7h7hjawyfebptw,"I struggle with ADHD, bipolar, and since November 6, anger management.

Life begins at first breath. Abortion restrictions violate the 1st Amendment. Trans rights are human rights. Putin, Netanyahu, and Trump - the Axis of Evil. An #EnemyWithin",Jerk Off Johnson said the reason why the Gaetz report shouldn't be released is because Gaetz resigned from Congress. He actually said this.
did:plc:ciawzjhanrv5ez66kf5jhjy2,"Trust dogs. Their judgment, if not always correct, is always amusing.
â€”>Harris/Walz, democracy, human rights","No one reads my posts but READ THIS ONE! Gift article/no paywall from today's New York Times. Great analysis of the first two weeks. WORTH READING!

Opinion | Donâ€™t Believe Him
Ezra Klein, Feb. 2, 2025

www.nytimes.com/2025/02/02/o..."
did:plc:xogsg2vbt2zmnkzzmzhkrahb,Australian. Sick of the two party duopoly. Rusties and shills turn back now. Public health. Housing for all. A green future. Tax the billionaires. Peace.,"The Targeted Compliance Framework is clearly an unworkable, dysfunctional and monstrous system.

People on income support, their advocates and the Greens have been calling for an end to mutual obligations for years. When will Labor have the guts to do the right thing?"
did:plc:jcoy7v3a2t4rcfdh6i4kza25,"Astronomy postdoc @mpi-astro.bsky.social in ğŸ‡©ğŸ‡ª. 
Works with machine learning & star clusters. 
Maintains the Astronomy feeds (@astronomy.blue).

ğŸ³ï¸â€ğŸŒˆ ğŸ³ï¸â€âš§ï¸ (she/her), â“‹
Website: https://emily.space
GitHub: https://github.com/emilyhunt","Hi! As you're a recent exoplanets feed user - just to let you know, the planet emoji won't work to post to the exoplanets feed in the future, as we want to cut down on false positives.

bsky.app/profile/astr..."
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava UkraineğŸ‡ºğŸ‡¦","A Madame Maynier is identified as the maker of this mid #1880s dolman, taking an earlier wool kashmir shawl and repurposing it with the addition of some claret velvet trimmings, V&A Museum #FashionHistory ğŸ—ƒï¸ğŸª¡"
did:plc:sptkal5ejb7h7hjawyfebptw,"I struggle with ADHD, bipolar, and since November 6, anger management.

Life begins at first breath. Abortion restrictions violate the 1st Amendment. Trans rights are human rights. Putin, Netanyahu, and Trump - the Axis of Evil. An #EnemyWithin","Not really, unless you expect to go 0-60 in one day. How long did it take to build your Twitter following?

If you want to build engagement follow @whatsmid.bsky.social"
did:plc:v6ayqajggq45mtgdvzbrz2je,"No MAGA, no OnlyFans, no bitcoin, no gofundme, no astrology / occult, no investments, no bullshit. 

In general, no douchebaggery. 

Iâ€™ll block you faster than a GOP led Congress will block a bipartisan funding bill.","President Elon is thinking of ways to make the government more efficient. One way is to stop making the penny which costs three cents to make. 

Iâ€™ve got a deal for you, Muskmelon. Iâ€™ll sell you all my pennies for 2 1/2 cents each. Youâ€™ll save over 16%!"
did:plc:wuamgt4m743fl3atrs4agwsq,Historian of science and religion in a previous life. Author @Palgrave (2020). Views mine. He/Him. Orange belt in Karate (2002). I'm big in Japan.,"In case you were wondering what sort of information environment Elon Musk has cultivated on ex-Twitter, this completely baseless conspiracy theory that the FBI was behind Trump's assassination has 4 million views. It was tweeted out by a blue check with 1.2 million followers."
did:plc:i7r5rvq2r57yl55vhasyj6ey,"AuDHD nonbinary PNW hermit, alleged Storyteller, Columbo Aficionado, Enterprise Blueprinter","They made me feel. Granted, I felt frustrated by much of them, but there are moments, elements, that are more interesting, sometimes better executed than almost anything else out there."
did:plc:57xdvh57hln36yi6z2ub7vde,"they/them | dogtor/policy wonk
a cappella music director
I snowboard in winter &
plant native flowers in spring
Bostonâ†”ï¸DC","These 81 Democrats joined Republicans in voting for a National Defense Authorization Act that bans medically necessary health care for military families with trans kids. 

Especially disappointed to see Hakeem Jeffries there. 

clerk.house.gov/evs/2024/rol..."
did:plc:6lzfrphxgfdswhx7z3d3d77c,Dutch fella | #NAFO son of a beach | Political science and constitutional law | Social Green Democrat | Global #BlueWave #Bluecrew #Resist ğŸ’™ | B.A.F ğŸ›¹ | #Arma3 | #FAFO â–³ | English/Dutch,"To those who were given an award or honour, but never posted about it.

I bow to all of you. In Japanese culture, and especially the traditional martial ways, one of the most important elements of character is humility. You showed that. I am trying hard to become more like you. Thank you. (2/2)"
did:plc:2coxtswrawkhgrzqgzvo6ibc,"Ditch Daylight Saving Time. Permanent Standard Time lets us sleep later for health, mood, safety, education, economy, and environment. Weâ€™re a 501(c)(4) nonprofit.","Congress can #DitchDST for permanent Standard Time nationwide. Itâ€™s widely endorsed and historically proven as best for health, safety, education, and lasting acceptance. www.votervoice.net/ditchDST/Cam..."
did:plc:xogsg2vbt2zmnkzzmzhkrahb,Australian. Sick of the two party duopoly. Rusties and shills turn back now. Public health. Housing for all. A green future. Tax the billionaires. Peace.,"If only the Liberal govt had gone with fibre optic instead of bloody copper, then this wouldn't be happening. 

#LNPCorruptionParty #LNPNeverAgain"
did:plc:fnqhfefhrn2kq2v4hmamkbij,"Prof @ Northwestern law, political theorist, cat parent. Black lives matter. 

Profile, pubs, etc: https://gowder.io 

All my books (rule of law, racial justice, platform governance) are downloadable in free open access pdf @ https://books.gowder.io","Biden is supposed to have such a great economic record but I ask you, when has HE generated $83.3 million in income for anyone"
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava UkraineğŸ‡ºğŸ‡¦",I should point out that as a voter I owe no loyalty to any political party and will vote with my conscience which is currently with the LDs.
did:plc:jcoy7v3a2t4rcfdh6i4kza25,"Astronomy postdoc @mpi-astro.bsky.social in ğŸ‡©ğŸ‡ª. 
Works with machine learning & star clusters. 
Maintains the Astronomy feeds (@astronomy.blue).

ğŸ³ï¸â€ğŸŒˆ ğŸ³ï¸â€âš§ï¸ (she/her), â“‹
Website: https://emily.space
GitHub: https://github.com/emilyhunt","I think the exciting thing about bigger accounts is that they bring some legitimacy to the platform and the community. Also, big accounts like @NASA on Twitter do wonderful scicomm, which would bring a lot of accessible content to the platform"
did:plc:pbr252h7qh57j6kbj63kja2b,"I write slashy sci-fi and fantasy. I like animals, flowery plants, and the environment.

Stuff: https://harperkingsley.net/blog. || https://kimichee.com. || https://ko-fi.com/harperwck. || https://amzn.to/3IdScGG. || https://patreon.com/harperkingsley.","Sheep have to be sheared, or their wool will keep growing. All the images of sheep bleeding from being sheared are actually from dye to determine if male sheep are being male sheep. Citing my sources: siphersaysstuff.tumblr.com/post/7043241... Acrylic yarn is made of plastic and isnt safer for sheep"
did:plc:bmjwjvw5yghf7slugtimlw6e,"Environmental activist, passionate for climate, ecology & social justice. XR Camden, London lover, narrowboater, wilding project in Devon countryside. Try to live sustainably: vege, bikes, trains, given up flying, all electric & solar PV home & Narrowboat","Huge victory for common sense. There can be no new oil and gas developments if we are to stay within safe climate limits - govt must now refuse consent for the 13 other oil and gas drilling projects licensed by the previous govt 
www.theguardian.com/environment/..."
did:plc:lzfpjbnprqpv7wvvi2qnhkhy,"GenX â€¢ Percussively inclined â€¢ Roller skating â€¢ Vinyl collecting â€¢ Reading â€¢ Yoga + meditation â€¢ Strong vibes of positivity + social awkwardness â€¢ Criminology student â€¢ Wanderlust.
Blue Jays â€¢ Canucks â€¢ PWHL â€¢ F1
ğŸ“KW-ON / https://linktr.ee/lifeunjaded","True story: In the mid-late 90s I worked for a business that modified bungee cords to be used to help hold the roof of the stadium up. It was a special, rush order for the company and all hands were on deck to get the job done in time. We did thousands. #funtimes"
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava UkraineğŸ‡ºğŸ‡¦","I don't think people here have forgotten the murder of Andrei Litvinenko nor the chemical weapons attack in Salisbury that killed one British citizen, left others gravely ill & recklessly risked the lives & health of hundreds."
did:plc:ztxesphxbajj6xfxugfsxofm,"18+ Themagicman1 on FA, always watching, I like star wars, vore, Ben 10, avatar and LOK, dragon ball, pokemon, gaming and much more.",
did:plc:tdhfbju5nml6p7goaye5iiqj,"European Space Agency Astronomer at the Space Telescope Science Institute in Baltimore, MD. Team Lead for the MIRI instrument on JWST. Runner, dog mum, cyclist. ğŸ‡¬ğŸ‡§ğŸ‡§ğŸ‡ª Opinions my own. ",Always appreciate @stevemagness.bsky.social's insights on leadership and I hope I hit at least a good few of these points in my role as Manager.
did:plc:vupv7ucksqnnbqbpy75xftxy,"Punk rock musician, speech teacher, outdoors chica, social justice warrior, media monster, generally one tough, outspoken broad. ğŸ‘ŠğŸ»ğŸ˜ğŸ¸ğŸ—¯ï¸ğŸ‡ºğŸ‡¸ğŸ³ï¸â€ğŸŒˆğŸ³ï¸â€âš§ï¸âœŠğŸ½âœŠğŸ¾âœŠğŸ¿ğŸ’™ ğŸš«crypto ğŸš«MAGAğŸš«DMs",Looking forward to your shares. Iâ€™m about to go on a food frenzy. I like to make a different feast for each side of the family we gather with.
did:plc:xogsg2vbt2zmnkzzmzhkrahb,Australian. Sick of the two party duopoly. Rusties and shills turn back now. Public health. Housing for all. A green future. Tax the billionaires. Peace.,"Tanya Plibersek, has spent the past two days hosting a global nature positive summit  with business figures, investors, environmentalists, First Nations leaders and bureaucrats.

No binding decisions, commitments or even comuniques but some jolly nice environmental lunches were had.
#auspol"
did:plc:u6b2xtkjlq4uh6aq6gxzl7ew,"Silver Jewellery Maker Science, Art, Poetry, Writing, History, Mythology and the Weird.

Sussex UK via Dorset

Boycott The USA Slava UkraineğŸ‡ºğŸ‡¦","The other thing that EU citizens underestimate is that a lot of white Americans think they are English (they prefer Anglo Saxon). The US Revolutionary War started with a secret society in Lewes, just up the road from me, and Republicans always hoped it would spread across the Pond. Ofc it did, but"
did:plc:zxluilu6fre3unebfbg3ralb,Recording Artist | Business Owner (AZUL Entertainment) | Witch | LGBTQIA+ Activist | Loving Husband ,Should I Release a New Song Maybe an Actual Single from My Album? ğŸ‘€ğŸ‘€ğŸ‘€
did:plc:jbetetyo2tuybh46gaxubb4a,"Writer and filmmaker working on politics, history and economics.

My debut feature-length documentary BOOMERS is out now on Nebula: https://go.nebula.tv/boomers?ref=tomnicholas","I think this is an excellent assessment of where the Labour Party is and what it needs to do.

The right is winning because it has a good story and isn't afraid to make an argument."
did:plc:dchco3cjth6w3pfaeex2i3hl,"Married to Doug (http://www.douglasjlane.com) & mom to Buster in OR. Impatient gardener,  food & beverage fanatic, former engineer, data driven liberal. ","How about them apples?! These poor trees are wild and overgrown from neglect, dropping fruit like crazy & branches broken from the weight. We'll be getting pro help to restore them to healthy size and shape."
